Distance (cm),Pressure (Pa),Magnetic Field (T),Mass (g/cm²s),Mass std (g),mean,std,Ion Current (A),Ion Current Std (A),,Notes
10,0.3,0.1,1.45660299182539E-08,8.46657105383665E-11,1.21479480484132,0.968434621081695,0.00303698701210329,0.00242108655270424,,
10,0.3,0.15,2.01551427134808E-08,8.46657105383665E-11,1.74993575265657,0.939639012774126,0.00437483938164141,0.00234909753193531,,
10,0.3,0.2,2.76080770501027E-08,8.46657105383665E-11,2.1774771543996,0.880496341639835,0.00544369288599899,0.00220124085409959,,
10,0.3,0.25,3.37051841074647E-08,8.46657105383665E-11,2.50548067664175,0.829645932979748,0.00626370169160436,0.00207411483244937,,
12,0,0,3.80878105262874E-09,8.46657105383665E-11,0.443712333473305,0.262612626553644,0.00110928083368326,0.000656531566384109,,
12,0,0.05,2.53938335425697E-09,8.46657105383665E-11,0.206227716236753,0.474662945738088,0.000515569290591881,0.00118665736434522,,
12,0,0.1,1.0748429519899E-08,8.46657105383665E-11,1.05566085389922,0.962083254319435,0.00263915213474805,0.00240520813579859,,
12,0,0.15,1.59106860261148E-08,8.46657105383665E-11,1.70278236758648,1.20937240585208,0.00425695591896621,0.00302343101463019,,
12,0,0.2,2.06502019371522E-08,8.46657105383665E-11,2.19114560431914,1.07783872964711,0.00547786401079784,0.00269459682411778,,
12,0,0.25,2.44589829903286E-08,8.46657105383665E-11,2.56840296768646,0.891128811852464,0.00642100741921616,0.00222782202963116,,
12,0.025,0,5.58440914497598E-09,8.46657105383665E-11,0.538127198320336,0.39733484769701,0.00134531799580084,0.000993337119242521,,
12,0.025,0.05,4.399677156595E-09,8.46657105383665E-11,0.359932124635073,0.60569314732858,0.000899830311587686,0.00151423286832145,,
12,0.025,0.1,1.06614119847828E-08,8.46657105383665E-11,1.2158684665067,1.06029259706507,0.00303967116626675,0.00265073149266266,,
12,0.025,0.15,1.62452331733405E-08,8.46657105383665E-11,1.81970486075785,1.16445185418223,0.00454926215189462,0.00291112963545556,,
12,0.025,0.2,2.19143080288549E-08,8.46657105383665E-11,2.39375064834033,1.125854185848,0.00598437662085083,0.00281463546461999,,
12,0.025,0.25,2.62299074313298E-08,8.46657105383665E-11,2.84008247786443,0.981627947431296,0.00710020619466107,0.00245406986857824,,
12,0.05,0,4.40085306888393E-09,8.46657105383665E-11,0.42664715654869,0.309379570553943,0.00106661789137173,0.000773448926384857,,
12,0.05,0.05,2.96153599356473E-09,8.46657105383665E-11,0.302262940081984,0.502649722659296,0.000755657350204957,0.00125662430664824,,
12,0.05,0.1,1.00705158808165E-08,8.46657105383665E-11,1.05584871718656,0.883301581373761,0.00263962179296641,0.0022082539534344,,
12,0.05,0.15,1.42173718191805E-08,8.46657105383665E-11,1.53824929790042,1.01179322950041,0.00384562324475105,0.00252948307375102,,
12,0.05,0.2,1.91250432379106E-08,8.46657105383665E-11,1.96437296005799,0.955544672944706,0.00491093240014497,0.00238886168236176,,
12,0.05,0.25,2.45418848316122E-08,8.46657105383665E-11,2.40338846689662,0.87110576639115,0.00600847116724155,0.00217776441597788,,
12,0.075,0,4.56900857767175E-09,8.46657105383665E-11,0.473405141961608,0.325431058437751,0.00118351285490402,0.000813577646094379,,
12,0.075,0.05,2.792204572488E-09,8.46657105383665E-11,0.342717412627475,0.549919439250859,0.000856793531568686,0.00137479859812715,,
12,0.075,0.1,1.00693399685276E-08,8.46657105383665E-11,1.11323455973805,0.910370816837845,0.00278308639934513,0.00227592704209461,,
12,0.075,0.15,1.44690171251226E-08,8.46657105383665E-11,1.55197565226955,0.983062488104016,0.00387993913067386,0.00245765622026004,,
12,0.075,0.2,1.99693485159785E-08,8.46657105383665E-11,2.04546355211958,0.938179446985916,0.00511365888029894,0.00234544861746479,,
12,0.075,0.25,2.64004147646955E-08,8.46657105383665E-11,2.62180113519296,0.938481540818582,0.00655450283798241,0.00234620385204646,,
12,0.1,0,3.46953025515219E-09,8.46657105383665E-11,0.37708684780044,0.262878740808279,0.0009427171195011,0.000657196852020698,,
12,0.1,0.05,2.45412968730036E-09,8.46657105383665E-11,0.29445384475105,0.476492310207989,0.000736134611877622,0.00119123077551997,,
12,0.1,0.1,8.80170613831543E-09,8.46657105383665E-11,0.914858003909218,0.768449576000394,0.00228714500977304,0.00192112394000099,,
12,0.1,0.15,1.31173055413379E-08,8.46657105383665E-11,1.33195090442911,0.874620885917546,0.00332987726107279,0.00218655221479386,,
12,0.1,0.2,1.81948963370153E-08,8.46657105383665E-11,1.72311651490702,0.843490328561204,0.00430779128726755,0.00210872582140301,,
12,0.1,0.25,2.2850334493385E-08,8.46657105383665E-11,2.06093342865427,0.75389366750704,0.00515233357163567,0.0018847341687676,,
