Pattern,Distance (cm),Magnetic Field (T),Pressure (Pa),Version,Element,Mean Charge State,Std Charge State,Average Potential Energy (eV),Std Potential Energy (eV),Average Kinetic Energy (eV),Std Kinetic Energy (eV),Kinetic Energy Al+,Std Kinetic Energy Al+,Kinetic Energy Al++,Std Kinetic Energy Al++,Kinetic Energy Al+++,Std Kinetic Energy Al+++,Kinetic Energy Ti+,Std Kinetic Energy Ti+,Kinetic Energy Ti++,Std Kinetic Energy Ti++,Kinetic Energy Ti+++,Std Kinetic Energy Ti+++,Kinetic Energy Ti++++,Std Kinetic Energy Ti++++,Kinetic Energy N+,Std Kinetic Energy N+,Kinetic Energy N₂+,Std Kinetic Energy N₂+
20cm-0.25t-n-0,20,0.25,0,,N₂,1,0,12.464,1.77635683940025E-15,11.0292275574113,0,,,,,,,,,,,,,,,,,11.0292275574113,9.66123377346092
10cm-0.25t-n-0,10,0.25,0,,Al,2.06724254620797,0.511982472479904,25.5389795095214,10.1886707497987,22.9359062715202,1.28411376506457,22.4900647948164,8.42513778214158,22.3438899925986,12.9624212608621,25.8027657122596,16.5639203265027,,,,,,,,,,,,
10cm-0.25t-n-0,10,0.25,0,,Ti,2.7466033104966,0.500115347055521,37.9723681285728,11.8807243113894,27.8994900535558,1.89674323079638,,,,,,,28.5838433292534,10.8127778535667,30.9577971073469,10.1896092007033,26.6794805463576,13.8945044097687,28.3588317107093,15.3995204944331,,,,
10cm-0.25t-n-0,10,0.25,0,,N,1,0,11.62728,0,17.0729927007299,0,,,,,,,,,,,,,,,17.0729927007299,8.58077552217692,,
10cm-0.25t-n-0,10,0.25,0,,N₂,1,0,12.464,0,10.7999728960564,0,,,,,,,,,,,,,,,,,10.7999728960564,9.00853189120625
14cm-0.25t-n-0,14,0.25,0,,Al,1.93617534168552,0.4738108023263,22.9139263065547,8.70211780361345,15.8300645392685,2.73243088388642,16.8978686883135,7.58066409130156,14.6936364349688,10.4783045313004,24.5776627218935,16.0619373802463,,,,,,,,,,,,
14cm-0.25t-n-0,14,0.25,0,,Ti,2.72953241429162,0.485900751132826,37.4575713817727,11.2061754230524,25.2917686990453,1.09116499033096,,,,,,,25.3521126760563,12.753456964709,26.877472152762,9.84758262825675,24.7549164524422,15.8256393079265,21.074578989575,14.7189675772069,,,,
14cm-0.25t-n-0,14,0.25,0,,N,1,0,11.62728,0,16.3862212943633,0,,,,,,,,,,,,,,,16.3862212943633,7.22867594152079,,
14cm-0.25t-n-0,14,0.25,0,,N₂,1,0,12.464,0,7.76959619952494,0,,,,,,,,,,,,,,,,,7.76959619952494,8.75326515984825
10cm-0.15t-n-0,10,0.15,0,,Al,1.78261766586588,0.515344082596269,20.3342991619686,8.7417142072307,13.4065013420751,1.69238979257645,13.5780967677173,5.99284975739317,12.8252858357744,8.85908998722655,20.8217213114754,14.158839108696,,,,,,,,,,,,
10cm-0.15t-n-0,10,0.15,0,,Ti,2.507988004642,0.532908525692224,32.5505492060597,11.9886387206753,25.7555720662654,1.08138015790767,,,,,,,24.3863636363636,8.81772296525645,26.8327823285392,8.88288844351766,24.6782443202093,13.165653863072,27.0055452865065,14.5274921579576,,,,
10cm-0.15t-n-0,10,0.15,0,,N,1,0,11.62728,0,0.5,0,,,,,,,,,,,,,,,0.5,0.5,,
10cm-0.15t-n-0,10,0.15,0,,N₂,1,0,12.464,0,1,0,,,,,,,,,,,,,,,,,1,0
10cm-0t-n-0.1,10,0,0.1,,Al,1.23766102096161,0.441450548809284,11.8111709006046,6.88601274042633,11.8630305372628,1.26719626945744,11.1913800936259,5.94451720612288,13.9848370792558,9.03892159884634,17.9103260869565,11.8674793989698,,,,,,,,,,,,
10cm-0t-n-0.1,10,0,0.1,,Ti,2.2534886784369,0.633414092753485,27.9924959392379,14.5177973478187,24.7137715757002,2.84815644493757,,,,,,,18.3288409703504,12.2495629203009,23.7203408033221,11.7229407371742,27.8643464504647,13.2511146356602,32.4955044955045,14.2087417257406,,,,
10cm-0t-n-0.1,10,0,0.1,,N,1,0,11.62728,0,20.0077023926581,0,,,,,,,,,,,,,,,20.0077023926581,16.108533876465,,
10cm-0t-n-0.1,10,0,0.1,,N₂,1,0,12.464,0,13.9807387025082,0,,,,,,,,,,,,,,,,,13.9807387025082,11.5695200187504
10cm-0t-n-0.3,10,0,0.3,,Al,1.27724775196743,0.450411655255956,12.364321172634,6.82638948613303,11.2133593944271,1.26303861341918,10.4790237000354,11.7723589448967,13.1940938318647,13.2211195723049,1.11627906976744,4.66660228135553,,,,,,,,,,,,
10cm-0t-n-0.3,10,0,0.3,,Ti,2.07046409898039,0.574247581410137,24.2497366743347,12.8729483745046,11.3904845357855,1.42329331872763,,,,,,,11.7617360496014,13.8770670943197,10.7557493188011,11.7830138408735,15.3786929274843,12.9554298593083,14.0883534136546,14.2927026940604,,,,
10cm-0t-n-0.3,10,0,0.3,,N,1,0,11.62728,0,24.1746200070696,0,,,,,,,,,,,,,,,24.1746200070696,18.1847791351418,,
10cm-0t-n-0.3,10,0,0.3,,N₂,1,0,12.464,0,13.087646571124,1.77635683940025E-15,,,,,,,,,,,,,,,,,13.087646571124,15.1311967142123
10cm-0t-n-0.3,10,0,0.3,,Al,1.08857997142775,0.288234645091425,9.52190370629697,4.40893915792108,11.1539767778674,0.947555962754258,10.9003871507795,10.7619551485593,13.9893414541302,12.4141160973153,0,0,,,,,,,,,,,,
10cm-0t-n-0.3,10,0,0.3,,Ti,1.95485492913404,0.639364782439056,22.7735823648872,13.1771236471264,12.6244537494991,2.09872528739489,,,,,,,14.1984316399591,11.8071576294747,11.3988815455008,12.7618130635398,17.8003696857671,14.2758304286984,17.7360178970917,18.7290136161314,,,,
10cm-0t-n-0.3,10,0,0.3,,N,1,0,11.62728,0,27.7039159503343,0,,,,,,,,,,,,,,,27.7039159503343,18.4107174833943,,
10cm-0t-n-0.3,10,0,0.3,,N₂,1,0,12.464,0,14.285086551265,0,,,,,,,,,,,,,,,,,14.285086551265,14.5984541695452
10cm-0t-n-0,10,0,0,,Al,1.65671418982082,0.547275044617605,18.3555655078765,9.03327710673849,15.7738603122743,1.41558729706141,14.2664328429765,8.58754914061704,16.4490345353655,9.97085080296778,20.631977946244,12.6237356491256,,,,,,,,,,,,
10cm-0t-n-0,10,0,0,,Ti,2.64777298592486,0.568578053291173,36.0029847104688,13.4617461800848,23.925289027465,1.12870444775234,,,,,,,17.2795454545455,10.0569532605207,23.1333553391649,11.070623926655,24.3308521407729,12.0841986073553,27.4372990353698,17.1321257929041,,,,
10cm-0t-n-0,10,0,0,,N,1,0,11.62728,0,0.333333333333333,0,,,,,,,,,,,,,,,0.333333333333333,0.471404520791032,,
10cm-0t-n-0,10,0,0,,N₂,1,0,12.464,1.77635683940025E-15,0.148325358851675,0,,,,,,,,,,,,,,,,,0.148325358851675,0.355422209172692
14cm-0.25t-n-0.2pa,14,0.25,0.2,,Al,1.15795421919606,0.3651781997924,10.5591971699122,5.50834518937353,13.0802939159963,3.41962374420553,11.600201271671,5.71495485412566,20.9816115011702,12.1428198440677,20.4285714285714,12.981934071813,,,,,,,,,,,,
14cm-0.25t-n-0.2pa,14,0.25,0.2,,Ti,1.88526625962158,0.476622211599267,20.6382524199185,8.02787790903108,16.4162833144459,1.93377091450567,,,,,,,14.0759966777409,7.05578426644458,16.4826911428971,8.04939591093855,22.7493472584856,12.229307918226,28.8924302788845,12.9072843971181,,,,
14cm-0.25t-n-0.2pa,14,0.25,0.2,,N,1,0,11.62728,0,9.55566188197767,0,,,,,,,,,,,,,,,9.55566188197767,9.00586441936046,,
14cm-0.25t-n-0.2pa,14,0.25,0.2,,N₂,1,0,12.464,0,9.98072087175189,0,,,,,,,,,,,,,,,,,9.98072087175189,8.15671679395791
14cm-0.25t-n-0.1pa,14,0.25,0.1,,Al,1.25299422529029,0.446836317182827,12.0304896580631,6.91209465033746,15.7853168360086,0.819376151576339,15.5019642987401,9.08871367080526,16.4511155302514,10.2237592593634,25.4985507246377,13.5180233178279,,,,,,,,,,,,
14cm-0.25t-n-0.1pa,14,0.25,0.1,,Ti,2.21098760528937,0.584443257462315,26.8310644395618,13.0412991141978,26.3349619812881,3.12011036910891,,,,,,,22.9571776155718,11.6287719282688,24.7651588917412,11.8693052773381,31.2912844036697,13.3235329227262,34.9316455696203,14.5651877694884,,,,
14cm-0.25t-n-0.1pa,14,0.25,0.1,,N,1,0,11.62728,0,20.7865776081425,0,,,,,,,,,,,,,,,20.7865776081425,13.113855908388,,
14cm-0.25t-n-0.1pa,14,0.25,0.1,,N₂,1,0,12.464,0,17.9275177563285,0,,,,,,,,,,,,,,,,,17.9275177563285,12.5662632821731
